WeekBeginning,Location,DateOfSample,NoOfBedsBeingSampled
2019-04-01,Belfast,2019-04-01,3
2019-04-01,C-Fresh ,2019-04-01,1
2019-04-01,Foyle,2019-04-02,2
2019-04-01,Carlingford ,2019-04-02,4
2019-04-08,C-Fresh ,2019-04-08,1
2019-04-08,Dundrum N,2019-04-08,2
2019-04-08,Paddy's Point,2019-04-08,2
2019-04-08,Larne,2019-04-09,1
2019-04-08,Skate Rock,2019-04-09,1
2019-04-15,Belfast,2019-04-15,3
2019-04-15,C-Fresh ,2019-04-15,1
2019-04-22,C-Fresh ,2019-04-24,1
2019-04-22,Dundrum S,2019-04-24,1
2019-04-22,Killough,2019-04-24,2
2019-04-29,C-Fresh ,2019-04-29,1
2019-04-29,Carlingford,2019-05-01,4
2019-05-06,Belfast,2019-05-07,3
2019-05-06,C-Fresh ,2019-05-07,1
2019-05-06,Paddy's Point,2019-05-07,2
2019-05-06,Larne,2019-05-08,1
2019-05-06,Foyle,2019-05-08,2
2019-05-06,Skate Rock,2019-05-08,1
2019-05-13,C-Fresh ,2019-05-13,1
2019-05-13,Dundrum N,2019-05-13,2
2019-05-20,Belfast,2019-05-20,3
2019-05-20,C-Fresh ,2019-05-20,1
2019-05-27,C-Fresh ,2019-05-28,1
2019-05-27,Dundrum S,2019-05-28,1
2019-05-27,Killough,2019-05-28,2
2019-06-03,Belfast,2019-06-03,3
2019-06-03,C-Fresh ,2019-06-03,1
2019-06-03,Skate Rock,2019-06-03,1
2019-06-03,Paddy's Point,2019-06-04,2
2019-06-03,Foyle,2019-06-04,2
2019-06-03,Carlingford,2019-06-05,4
2019-06-10,C-Fresh ,2019-06-10,1
2019-06-10,Dundrum N,2019-06-10,2
2019-06-10,Larne,2019-06-11,1
2019-06-17,Belfast,2019-06-17,3
2019-06-17,C-Fresh ,2019-06-17,1
2019-06-24,C-Fresh ,2019-06-24,1
2019-06-24,Dundrum S,2019-06-24,1
2019-06-24,Killough,2019-06-24,2
2019-06-24,Paddy's Point,2019-06-24,2
2019-06-24,Skate Rock,2019-06-25,1
2019-07-01,Belfast,2019-07-01,3
2019-07-01,C-Fresh ,2019-07-01,1
2019-07-01,Carlingford,2019-07-02,4
2019-07-01,Foyle,2019-07-02,2
2019-07-08,C-Fresh ,2019-07-08,1
2019-07-08,Dundrum N,2019-07-08,2
2019-07-08,Larne,2019-07-09,1
2019-07-15,Belfast,2019-07-16,3
2019-07-15,C-Fresh ,2019-07-16,1
2019-07-22,C-Fresh ,2019-07-22,1
2019-07-22,Dundrum S,2019-07-22,1
2019-07-22,Killough,2019-07-22,2
2019-07-22,Paddy's Point,2019-07-22,2
2019-07-22,Skate Rock,2019-07-23,1
2019-07-29,C-Fresh ,2019-07-29,1
2019-07-29,Carlingford,2019-07-31,4
2019-08-05,Belfast,2019-08-05,3
2019-08-05,C-Fresh ,2019-08-05,1
2019-08-05,Dundrum N,2019-08-05,2
2019-08-05,Larne,2019-08-06,1
2019-08-05,Foyle,2019-08-07,2
2019-08-12,C-Fresh ,2019-08-12,1
2019-08-19,Belfast,2019-08-19,3
2019-08-19,C-Fresh ,2019-08-19,1
2019-08-19,Paddy's Point,2019-08-19,2
2019-08-19,Dundrum S,2019-08-20,1
2019-08-19,Killough,2019-08-20,2
2019-08-19,Skate Rock,2019-08-20,1
2019-08-26,C-Fresh ,2019-08-27,1
2019-09-02,Belfast,2019-09-02,3
2019-09-02,C-Fresh ,2019-09-02,1
2019-09-02,Larne,2019-09-03,1
2019-09-02,Carlingford,2019-09-03,4
2019-09-02,Foyle,2019-09-03,2
2019-09-09,C-Fresh ,2019-09-09,1
2019-09-09,Dundrum N,2019-09-09,2
2019-09-16,Belfast,2019-09-16,3
2019-09-16,C-Fresh ,2019-09-16,1
2019-09-16,Skate Rock,2019-09-16,1
2019-09-16,Paddy's Point,2019-09-17,2
2019-09-23,C-Fresh ,2019-09-23,1
2019-09-23,Dundrum S,2019-09-23,1
2019-09-23,Killough,2019-09-23,2
2019-09-30,C-Fresh ,2019-09-30,1
