WeekBeginning,Location,DateofSample,Noofbedsbeingsampled
2020-03-30,Strangford,2020-03-30,2
2020-03-30,Larne,2020-03-31,1
2020-04-06,Belfast,2020-04-06,3
2020-04-06,Dundrm North,2020-04-07,2
2020-04-06,Foyle,2020-04-07,2
2020-04-20,Belfast,2020-04-20,3
2020-04-20,Killough,2020-04-21,1
2020-04-20,Carlingford,2020-04-22,4
2020-04-27,Strangford,2020-04-27,2
2020-04-27,Dundrum South ,2020-04-27,1
2020-05-04,Belfast,2020-05-04,3
2020-05-04,Foyle,2020-05-05,2
2020-05-04,Dundrum North,2020-05-05,2
2020-05-04,Larne,2020-05-06,1
2020-05-18,Belfast,2020-05-18,3
2020-05-18,Killough,2020-05-19,2
2020-05-18,Carlingford,2020-05-20,4
2020-05-25,Strangford,2020-05-27,2
2020-05-25,Dundrum South ,2020-05-27,1
2020-06-01,Belfast,2020-06-01,3
2020-06-01,Dundrum North,2020-06-01,2
2020-06-01,Foyle,2020-06-03,2
2020-06-08,Larne,2020-06-09,1
2020-06-15,Belfast,2020-06-15,3
2020-06-15,Killough,2020-06-15,1
2020-06-15,Carlingford,2020-06-17,4
2020-06-22,Strangford,2020-06-22,2
2020-06-29,Dundrum South ,2020-06-29,1
