WeekBeginning,Location,DateOfSample,NoOfSamples
2021-04-05,Foyle,2021-04-08,2
2021-04-12,Belfast,2021-04-12,3
2021-04-19,Belfast,2021-04-19,2
2021-04-19,Killough,2021-04-19,1
2021-04-19,Dundrum North,2021-04-19,2
2021-04-19,Larne,2021-04-20,1
2021-04-26,Dundrum South,2021-04-27,1
2021-04-26,Paddy's Point,2021-04-26,1
2021-04-26,Skate Rock,2021-04-27,1
2021-04-26,Carlingford,2021-04-27,4
2021-05-03,Foyle,2021-05-05,2
2021-05-10,Belfast,2021-05-10,3
2021-05-17,Belfast,2021-05-17,3
2021-05-17,Dundrum North,2021-05-17,2
2021-05-17,Killough,2021-05-17,1
2021-05-17,Dundrum South,2021-05-17,1
2021-05-17,Larne,2021-05-18,1
2021-05-24,Paddy's Point,2021-05-25,1
2021-05-24,Skate Rock,2021-05-25,1
2021-05-24,Carlingford,2021-05-25,4
2021-05-31,Foyle,2021-06-02,2
2021-06-14,Killough,2021-06-14,2
2021-06-14,Dundrum North,2021-06-14,2
2021-06-14,Belfast,2021-06-14,3
2021-06-14,Carlingford,2021-06-15,4
2021-06-21,Belfast,2021-06-21,2
2021-06-21,Paddy's Point,2021-06-22,1
2021-06-21,Larne,2021-06-22,1
2021-06-21,Skate Rock,2021-06-22,1
2021-06-28,Dundrum South,2021-06-29,1
