WeekBeginning,Location,DateOfSample,NoOfSamples
2021-01-04,Strangford,2021-01-04,1
2021-01-04,Strangford,2021-01-05,1
2021-01-04,Larne,2021-01-05,1
2021-01-04,Carlingford,2021-01-06,4
2021-01-11,Belfast,2021-01-11,3
2021-01-11,Foyle,2021-01-12,2
2021-01-18,Dundrum S,2021-01-18,1
2021-01-18,Dundrum N,2021-01-18,2
2021-01-18,Killough,2021-01-18,1
2021-01-18,Belfast,2021-01-18,3
2021-02-01,Strangford,2021-02-01,1
2021-02-01,Strangford,2021-02-02,1
2021-02-01,Larne,2021-02-02,1
2021-02-01,Carlingford,2021-02-03,4
2021-02-08,Killough,2021-02-08,1
2021-02-08,Dundrum N,2021-02-08,2
2021-02-08,Belfast,2021-02-08,3
2021-02-08,Foyle,2021-02-09,2
2021-02-15,Belfast,2021-02-15,3
2021-02-22,Dundrum S,2021-02-22,1
2021-03-01,Strangford,2021-03-01,1
2021-03-01,Strangford,2021-03-02,1
2021-03-01,Larne,2021-03-02,1
2021-03-01,Carlingford,2021-03-02,4
2021-03-08,Belfast,2021-03-08,3
2021-03-08,Dundrum N,2021-03-08,2
2021-03-08,Killough,2021-03-08,2
2021-03-08,Foyle,2021-03-09,2
2021-03-15,Belfast,2021-03-15,3
2021-03-29,Strangford,2021-03-29,1
2021-03-29,Strangford,2021-03-30,1
2021-03-29,Carlingford,2021-03-30,4
2021-03-29,Dundrum S,2021-03-31,1
