WeekBeginning,Location,DateOfSample,NoOfSamples
2021-07-05,Foyle,2021-07-06,2
2021-07-12,Carlingford,2021-07-14,4
2021-07-19,Belfast,2021-07-19,3
2021-07-19,Larne,2021-07-20,1
2021-07-19,Dundrum N,2021-07-20,2
2021-07-19,Killough,2021-07-20,1
2021-07-19,Paddy's Point,2021-07-20,1
2021-07-19,Skate Rock,2021-07-20,1
2021-07-26,Dundrum S,2021-07-26,1
2021-07-26,Belfast,2021-07-26,2
2021-08-02,Foyle,2021-08-03,2
2021-08-09,Killough,2021-08-10,1
2021-08-09,Carlingford,2021-08-11,4
2021-08-16,Dundrum N,2021-08-16,2
2021-08-16,Paddy's Point,2021-08-16,1
2021-08-16,Belfast,2021-08-16,3
2021-08-16,Skate Rock,2021-08-17,1
2021-08-16,Larne,2021-08-17,1
2021-08-23,Belfast,2021-08-23,3
2021-08-23,Dundrum S,2021-08-24,1
2021-09-06,Foyle,2021-09-07,2
2021-09-06,Carlingford,2021-09-08,4
2021-09-13,Dundrum N,2021-09-13,2
2021-09-13,Belfast,2021-09-13,3
2021-09-13,Killough,2021-09-13,2
2021-09-13,Paddy's Point,2021-09-14,1
2021-09-13,Skate Rock,2021-09-14,1
2021-09-20,Belfast,2021-09-20,2
2021-09-20,Larne ,2021-09-21,1
2021-09-27,Dundrum S,2021-09-27,1
