WeekBeginning,Location,DateOfSample,NoOfBedsBeingSampled
2018-10-01,Belfast L.,2018-10-01,4
2018-10-01,Dundrum N.,2018-10-01,2
2018-10-01,Larne L.,2018-10-02,1
2018-10-08,Belfast L.,2018-10-08,1
2018-10-08,Carlingford L.,2018-10-09,4
2018-10-15,Belfast L.,2018-10-15,4
2018-10-15,Killough,2018-10-15,1
2018-10-15,Dundrum S.,2018-10-15,2
2018-10-15,Skate Rock ,2018-10-16,1
2018-10-15,Paddy's Point,2018-10-16,2
2018-10-22,Belfast L.,2018-10-22,1
2018-10-22,L. Foyle,2018-10-23,2
2018-10-29,Belfast L.,2018-10-29,1
2018-10-29,Larne L.,2018-10-30,1
2018-11-05,Belfast L.,2018-11-05,4
2018-11-05,Dundrum N.,2018-11-05,2
2018-11-05,Carlingford L.,2018-11-07,4
2018-11-12,Belfast L.,2018-11-12,1
2018-11-12,Paddy's Point,2018-11-12,2
2018-11-12,Skate Rock ,2018-11-13,1
2018-11-19,Belfast L.,2018-11-19,4
2018-11-19,Killough,2018-11-19,1
2018-11-19,Dundrum S.,2018-11-19,2
2018-11-19,L. Foyle,2018-11-20,2
2018-11-26,Belfast L.,2018-11-26,1
2018-12-03,Belfast L.,2018-12-03,4
2018-12-03,Dundrum N.,2018-12-03,2
2018-12-03,Larne L.,2018-12-04,1
2018-12-03,Carlingford L.,2018-12-05,4
2018-12-10,Belfast L.,2018-12-10,1
2018-12-10,Skate Rock ,2018-12-10,1
2018-12-10,Paddy's Point,2018-12-11,2
2018-12-17,Belfast L.,2018-12-17,4
2018-12-17,Killough,2018-12-17,1
2018-12-17,Dundrum S.,2018-12-17,2
2018-12-17,L. Foyle,2018-12-18,2
2018-12-24,No testing,,
2018-12-31,Larne L.,2019-01-02,1
2019-01-07,Belfast L.,2019-01-07,4
2019-01-07,Skate Rock,2019-01-07,1
2019-01-07,Paddy's Point,2019-01-08,2
2019-01-07,L. Foyle,2019-01-08,2
2019-01-07,Carlingford L.,2019-01-09,4
2019-01-14,Belfast L.,2019-01-14,1
2019-01-14,Dundrum N.,2019-01-14,2
2019-01-21,Belfast L.,2019-01-21,4
2019-01-28,Belfast L.,2019-01-28,1
2019-01-28,Killough,2019-01-28,1
2019-01-28,Dundrum S.,2019-01-28,2
2019-02-04,Belfast L.,2019-02-04,4
2019-02-04,Carlingford L.,2019-02-05,4
2019-02-04,L. Foyle,2019-02-05,2
2019-02-11,Belfast L.,2019-02-11,1
2019-02-11,Dundrum N.,2019-02-11,2
2019-02-11,Paddy's Point,2019-02-11,2
2019-02-11,Skate Rock ,2019-02-12,1
2019-02-11,Larne L.,2019-02-12,1
2019-02-18,Belfast L.,2019-02-18,4
2019-02-25,Belfast L.,2019-02-25,1
2019-02-25,Killough,2019-02-25,1
2019-02-25,Dundrum S.,2019-02-25,2
2019-03-04,Belfast L.,2019-03-04,4
2019-03-04,Carlingford L.,2019-03-05,4
2019-03-04,L. Foyle,2019-03-05,2
2019-03-11,Belfast L. ,2019-03-11,1
2019-03-11,Dundrum N.,2019-03-11,2
2019-03-11,Paddy's Point,2019-03-11,2
2019-03-11,Skate Rock ,2019-03-12,1
2019-03-11,Larne L.,2019-03-12,1
2019-03-18,Belfast L.,2019-03-19,4
2019-03-25,Belfast L.,2019-03-25,1
2019-03-25,Killough,2019-03-25,1
2019-03-25,Dundrum S.,2019-03-25,2
