WeekBeginning,Location,DateOfSample,NoOfSamples
2020-10-05,Larne,2020-10-06,1
2020-10-05,Foyle,2020-10-06,2
2020-10-05,Carlingford,2020-10-07,4
2020-10-12,Belfast,2020-10-12,3
2020-10-12,Dundrum N,2020-10-12,2
2020-10-12,Killough,2020-10-12,1
2020-10-19,Belfast,2020-10-19,3
2020-10-19,Paddy's Point,2020-10-19,1
2020-10-19,Skate Rock,2020-10-20,1
2020-10-26,Dundrum S,2020-10-26,1
2020-11-02,Larne,2020-11-03,1
2020-11-02,Foyle,2020-11-03,2
2020-11-02,Carlingford,2020-11-03,4
2020-11-09,Belfast,2020-11-09,3
2020-11-09,Dundrum N,2020-11-09,2
2020-11-09,Killough,2020-11-09,1
2020-11-16,Belfast,2020-11-06,3
2020-11-16,Skate Rock,2020-11-16,1
2020-11-16,Paddy's Point,2020-11-17,1
2020-11-23,Dundrum S,2020-11-23,1
2020-11-30,Belfast,2020-11-30,3
2020-11-30,Larne,2020-12-01,1
2020-11-30,Carlingford,2020-12-01,4
2020-12-07,Strangford,2020-12-07,2
2020-12-07,Dundrum N,2020-12-07,2
2020-12-07,Killough,2020-12-07,2
2020-12-07,Foyle,2020-12-08,2
2020-12-14,Belfast,2020-12-14,3
2020-12-21,Dundrum S,2020-12-21,1
